produit_original,nom_simplifié
%* AVOCAT,Avocat
%* PATATE DOUCE ORANGE,Patate douce (surgelée)
* 2 FLEX & WASH,* 2 FLEX & WASH
* AVOCAT,Avocat
* AVOCAT HASS 2FRUITS BIOVILLAGE,Avocat
* BANANE SACHET X 5,Banane
* CITRON JAUNE,Citron
* HOVE BIO TERRA DELYSSA 0.75L,Huile d'olive
* MELON DE CAVAILLON,Melon
* MOZZARELLA LAIT DE VACHE 3 X 10,Mozzarella x10
* PECHE BLANCHES FILIERE X4 PDP,Pêche blanche
* PH BLANC X 6 3PLIS UNIVERT,Papier toilette
* POMME BICOLORE BQT 4 FRUITS (0.,Pomme
* TOMATE COTELEE TYPE NOIRE CRIME,Tomate
* TRANCHE DE FETA 150G,Feta
*NOUILLE RIZ 3MM WEI,Nouilles de riz
"0,110 kg X 5,89EURO/kg",Vrac (vente au poids)
"0,225 kg X 3,65EURO/kg",Vrac (vente au poids)
"0,240 kg X 4,59EURO/kg",Vrac (vente au poids)
"0,300 kg X 1,69EURO/kg",Vrac (vente au poids)
"0,330 kg X 3,79EURO/kg",Vrac (vente au poids)
"0,335 kg X 3,29EURO/kg",Vrac (vente au poids)
"0,460 kg X 4,29EURO/kg",Vrac (vente au poids)
"0,500 kg X 2,19EURO/kg",Vrac (vente au poids)
"0,580 kg X 4,79EURO/kg",Vrac (vente au poids)
"0,660 kg X 2,49EURO/kg",Vrac (vente au poids)
"0,705 kg X 3,99EURO/kg",Vrac (vente au poids)
"0,775 kg X 3,49EURO/kg",Vrac (vente au poids)
"0,850 kg X 2,29EURO/kg",Vrac (vente au poids)
"0,960 kg X 1,99EURO/kg",Vrac (vente au poids)
1 MARQUEUR SHARPIE TWIN TIP NO,1 MARQUEUR SHARPIE TWIN TIP NO
"1,015 kg X 3,79EURO/kg",Vrac (vente au poids)
"1,095 kg X 1,99EURO/kg",Vrac (vente au poids)
"1,450 kg X 2,89EURO/kg",Vrac (vente au poids)
10 CAPS ALU BRESIL 52G PLANTA,Capsules café
10 CAPS ALU CAFE LUNGO 52G PLA,Capsules café
10 CAPS ALU CAFE RISTRE 52G PL,Capsules café
10 OEUFS BIO PACA PL,Œufs x10
12 OEUFS BIO - CAL M,Œufs x12
12 OEUFS PLEIN AIR LNA,Œufs x12
"2 X 0,99 EUR","2 X 0,99 EUR"
2X 1.99€,2X 1.99€
2X100 NOTES ROSE/VERT 1PCE,2X100 NOTES ROSE/VERT 1PCE
3 TAMPONS INOX,3 TAMPONS INOX
30 CAPS ALU CAFE EQUIL 156G PL,Capsules café
30 CAPSUL ALU RISTRETTO MR,Capsules café
4 CROCHETS ADH INOX RECTANGLE,4 CROCHETS ADH INOX RECTANGLE
5 COUVERCLES EXTENSIBLES E.1P,5 COUVERCLES EXTENSIBLES E.1P
"5 X 1,59 EUR","5 X 1,59 EUR"
6 OEUFS BIO - CAL. M,Œufs x6
6 OEUFS LABEL ROUGE,Œufs x6
6 OEUFS PLEIN AIR-CA,Œufs x6
ABRICOT VRAC,Abricot
AFFLIGEM BIERE PACK,Bière Affligem
