produit,quantite,prix_unitaire,prix_total,categorie,date,enseigne,fichier,nom_simplifié
ORIGAN DE PROVENCE DUCROS 12G,1.0,1.79,1.79,EPICERIE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Origan
BRETS ARO PESTO MOZZARELLA,1.0,1.48,1.48,EPICERIE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Mozzarella
FARINE BLE T45 1KG TABLIER B,1.0,0.69,0.69,EPICERIE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Farine T45
FINE CHAPELURE DE PAIN 275G,1.0,0.6,0.6,EPICERIE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Chapelure
AOP CHABLIS MR 75CL,1.0,12.49,12.49,LIQUIDE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Vin
SANPELLEGRINO CLEMENTINE/PECHE,1.0,3.84,3.84,LIQUIDE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Pêche
PAPIER HYGIENIQUE ROSE 12PCE,1.0,2.91,2.91,HYGIENE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Papier toilette
POIVRON JAUNE,0.416,4.99,2.08,FRUITS ET LEGUMES,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Poivron jaune
TOMATE CERISE ALLONGEE BICOLORE,1.0,2.29,2.29,FRUITS ET LEGUMES,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Tomates cerises
CONCOMBRE,1.0,1.39,1.39,FRUITS ET LEGUMES,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Concombre
GAULOIS - 2 BELLES ESC PLT,1.0,4.81,4.81,VOLAILLE LIBRE SERVICE,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Escargots surgelés
BEURRE MOULE DOUX 125G PAY.BRE,1.0,1.89,1.89,ULTRAS FRAIS,2025-08-09,Leclerc,E.Leclerc - Ticket du 09.08.2025.pdf,Beurre
